contract_id,party_a,party_b,effective_date,end_date,governing_law,amount,currency,dpa_present,contact_email,status,review_due_date,risk_level
C-110156,PartyA_187,PartyB_299,2023-07-05,2025-02-26,New York,143464.16,usd,y, user10156@bad email .com ,Expired,2024-02-09,HighRisk
C-105027,PartyA_103,PartyB_189,2023-11-13,2023-08-08,New York,237170.74,USD,n, user5027@bad email .com ,Active,2024-02-19,MediumRisk
C-124126,PartyA_10,PartyB_143,2024-07-16,2026-06-23,New York,62985.83,EUR,N,contact24126@example.com,Draft,2025-06-06,LowRisk
C-117187,PartyA_283,PartyB_289,2024-02-01,2024-08-25,Nigeria,198237.31,usd,Y, user17187@bad email .com ,Active,2024-07-03,MediumRisk
C-109929,PartyA_44,PartyB_258,2024-08-02,2026-03-29,Scotland,54112.17,usd,N, user9929@bad email .com ,Draft,2024-07-12,MediumRisk
C-118982,PartyA_211,PartyB_111,2023-09-22,2025-03-15,Delaware,150290.44,ZAR,y, user18982@bad email .com ,Expired,2024-05-04,HighRisk
C-116883,PartyA_108,PartyB_177,2023-08-18,2024-11-13,Delaware,214801.99,usd, , user16883@bad email .com ,Signed,2023-12-04,HighRisk
C-106428,PartyA_222,PartyB_94,2023-08-13,2024-04-25,Delaware,129081.17, xyz , ,contact6428@example.com,Active,2024-07-07,MediumRisk
C-104749,PartyA_147,PartyB_29,2024-05-11,2025-03-07,New York,46764.56,ZAR,n, user4749@bad email .com ,Signed,2025-05-09,MediumRisk
C-107755,PartyA_193,PartyB_78,2024-06-02,2024-06-16,New York,99471.08, xyz ,y,contact7755@example.com,Draft,2024-07-11,MediumRisk
C-109740,PartyA_6,PartyB_10,2024-03-15,2024-02-07,Scotland,109718.75,GBP,y,,Active,2024-12-30,MediumRisk
C-110869,PartyA_218,PartyB_232,2023-09-16,2024-12-03,Scotland,55203.66,INR,N,,Expired,2024-08-27,HighRisk
C-102948,PartyA_165,PartyB_120,2023-03-14,2023-02-02,England & Wales,148839.09,INR,y,contact2948@example.com,Expired,2023-10-31,HighRisk
C-108048,PartyA_73,PartyB_204,2023-07-19,2024-05-11,England & Wales,174978.85,GBP, ,contact8048@example.com,Signed,2023-06-27,MediumRisk
C-118373,PartyA_25,PartyB_161,2024-04-11,2024-09-21,Delaware,173933.3, xyz , ,,Signed,2025-04-08,HighRisk
C-110056,PartyA_221,PartyB_296,2023-07-22,2024-03-13,England & Wales,115907.89,GBP,n,contact10056@example.com,Active,2023-08-03,LowRisk
C-108443,PartyA_130,PartyB_76,2023-08-24,2023-12-09,Delaware,134828.3,USD,N, user8443@bad email .com ,Active,2024-05-23,MediumRisk
C-104448,PartyA_111,PartyB_154,2024-01-18,2023-10-10,New York,16815.54,NGN,N, user4448@bad email .com ,Active,2025-01-14,MediumRisk
C-109367,PartyA_126,PartyB_204,2024-01-17,2025-03-11,Delaware,54849.49,EUR,N,contact9367@example.com,Active,2024-01-10,LowRisk
C-109276,PartyA_275,PartyB_292,2023-07-30,2023-08-30,Scotland,156093.33,GBP,y,contact9276@example.com,Active,2023-10-19,LowRisk
C-116326,PartyA_273,PartyB_75,2024-01-28,2024-12-14,Nigeria,176887.24, xyz ,Y, user16326@bad email .com ,Draft,2024-10-29,MediumRisk
C-114793,PartyA_271,PartyB_25,2024-01-16,2025-12-04,Scotland,248808.32,NGN, ,contact14793@example.com,Draft,2024-07-14,MediumRisk
C-119943,PartyA_21,PartyB_125,2023-06-02,2024-11-05,New York,133143.55,GBP,n,contact19943@example.com,Draft,2023-06-15,LowRisk
C-105059,PartyA_153,PartyB_39,2023-06-13,2023-04-19,England & Wales,145433.33,INR, ,contact5059@example.com,Draft,2024-06-01,MediumRisk
C-122739,PartyA_126,PartyB_77,2024-03-16,2024-06-30,Scotland,161843.06,GBP,Y, user22739@bad email .com ,Active,2024-07-11,MediumRisk
C-107110,PartyA_244,PartyB_120,2023-07-07,2023-12-25,Delaware,197497.44,INR,N,contact7110@example.com,Signed,2024-04-16,MediumRisk
C-101959,PartyA_236,PartyB_174,2023-08-25,2023-07-17,New York,199674.58,USD,n,contact1959@example.com,Active,2024-07-16,LowRisk
C-101223,PartyA_21,PartyB_63,2024-06-11,2026-05-24,New York,154015.51,usd,Y, user1223@bad email .com ,Draft,2025-01-17,MediumRisk
C-122237,PartyA_183,PartyB_79,2023-04-12,2024-01-13,Scotland,208279.82,NGN, ,contact22237@example.com,Active,2023-09-16,MediumRisk
C-103625,PartyA_183,PartyB_268,2023-02-23,2023-01-08,New York,241786.81,NGN,Y, user3625@bad email .com ,Draft,2023-04-09,MediumRisk
C-120704,PartyA_3,PartyB_144,2024-05-07,2024-07-15,Delaware,118317.11, xyz ,n, user20704@bad email .com ,Signed,2024-04-17,MediumRisk
C-109448,PartyA_133,PartyB_132,2023-06-26,2025-05-19,New York,212763.98, xyz ,Y,,Draft,2023-08-19,MediumRisk
C-111811,PartyA_189,PartyB_200,2024-07-08,2024-09-20,Scotland,11850.99,usd,y, user11811@bad email .com ,Expired,2025-05-13,HighRisk
C-124603,PartyA_108,PartyB_50,2023-12-31,2025-04-27,England & Wales,91031.73,EUR,y, user24603@bad email .com ,Active,2024-09-27,MediumRisk
C-102541,PartyA_45,PartyB_209,2024-05-12,2024-11-10,England & Wales,237868.34,USD,N,,Draft,2024-12-05,MediumRisk
C-111947,PartyA_30,PartyB_52,2023-02-01,2022-11-20,England & Wales,231137.65,INR,y,,Draft,2023-04-23,MediumRisk
C-105382,PartyA_273,PartyB_294,2024-05-16,2024-08-04,England & Wales,170389.0,usd,n, user5382@bad email .com ,Signed,2025-03-09,MediumRisk
C-116039,PartyA_185,PartyB_165,2023-04-28,2024-02-08,Nigeria,104994.2,NGN,n, user16039@bad email .com ,Draft,2023-04-28,MediumRisk
C-108317,PartyA_68,PartyB_227,2024-07-07,2025-12-12,Scotland,233841.37,GBP, , user8317@bad email .com ,Signed,2025-04-29,MediumRisk
C-118828,PartyA_179,PartyB_175,2023-04-18,2023-12-22,Delaware,196758.48,INR,N,,Signed,2024-03-24,MediumRisk
C-120810,PartyA_181,PartyB_90,2023-02-28,2023-07-14,Delaware,177847.58,USD,Y,contact20810@example.com,Expired,2023-10-11,MediumRisk
C-100930,PartyA_217,PartyB_254,2024-06-20,2024-10-08,Delaware,44528.73,USD, , user930@bad email .com ,Active,2024-12-01,MediumRisk
C-113748,PartyA_35,PartyB_29,2024-06-05,2026-03-29,Nigeria,32322.87,EUR,y, user13748@bad email .com ,Expired,2024-08-31,HighRisk
C-117703,PartyA_299,PartyB_51,2023-05-27,2023-06-14,New York,161355.83, xyz ,y,contact17703@example.com,Expired,2023-08-09,HighRisk
C-120943,PartyA_245,PartyB_82,2024-06-26,2024-04-14,New York,111194.16, xyz ,Y,,Active,2024-12-09,MediumRisk
C-119512,PartyA_213,PartyB_202,2023-02-03,2023-07-09,Delaware,231697.96,EUR,y,,Draft,2023-09-01,MediumRisk
C-106002,PartyA_274,PartyB_225,2024-04-24,2026-03-17,New York,196237.71,usd,Y, user6002@bad email .com ,Signed,2025-03-19,MediumRisk
C-123613,PartyA_237,PartyB_260,2023-03-03,2023-07-16,Scotland,15362.12,ZAR,y,contact23613@example.com,Signed,2024-01-10,MediumRisk
C-111843,PartyA_299,PartyB_9,2023-04-03,2023-01-19,England & Wales,63297.73,EUR,N,contact11843@example.com,Active,2024-03-14,LowRisk
C-106248,PartyA_193,PartyB_218,2023-05-04,2024-06-01,New York,128690.29,ZAR,N,,Active,2023-09-12,MediumRisk
C-114161,PartyA_31,PartyB_177,2023-09-06,2024-04-28,Scotland,31346.84,ZAR,Y,contact14161@example.com,Draft,2024-01-06,MediumRisk
C-100982,PartyA_31,PartyB_17,2024-02-26,2025-11-06,England & Wales,84996.91,GBP,y,,Expired,2024-12-01,HighRisk
C-105023,PartyA_121,PartyB_32,2024-08-04,2025-09-21,Delaware,154218.54,USD, ,,Signed,2025-05-11,MediumRisk
C-114983,PartyA_228,PartyB_254,2024-07-11,2026-03-19,New York,178358.34,NGN,N,,Draft,2025-02-06,MediumRisk
C-111464,PartyA_68,PartyB_118,2023-02-01,2023-10-27,Delaware,76414.06,INR, ,contact11464@example.com,Active,2023-07-31,MediumRisk
C-100535,PartyA_98,PartyB_150,2024-06-15,2025-08-19,New York,99507.19,GBP, ,,Active,2024-12-27,MediumRisk
C-119077,PartyA_31,PartyB_271,2023-10-05,2025-06-29,Delaware,244359.27, xyz , ,,Active,2024-10-03,HighRisk
C-121552,PartyA_280,PartyB_207,2024-04-27,2025-09-05,Delaware,58630.06,EUR,y,,Expired,2025-02-07,HighRisk
C-111668,PartyA_267,PartyB_132,2024-04-25,2025-05-03,Scotland,99301.07,GBP,Y,,Signed,2025-04-11,MediumRisk
C-117626,PartyA_12,PartyB_72,2023-09-28,2023-12-29,England & Wales,184155.25,ZAR, ,contact17626@example.com,Signed,2024-09-21,MediumRisk
C-116290,PartyA_3,PartyB_290,2024-04-08,2025-12-27,Scotland,68271.53,USD, , user16290@bad email .com ,Draft,2024-08-26,MediumRisk
C-116830,PartyA_47,PartyB_209,2024-04-17,2024-06-26,Nigeria,202800.53,USD,N,contact16830@example.com,Active,2024-05-21,LowRisk
C-119847,PartyA_97,PartyB_32,2024-03-06,2025-10-05,New York,82027.36,EUR,y, user19847@bad email .com ,Draft,2024-05-10,MediumRisk
C-118118,PartyA_261,PartyB_34,2023-09-18,2025-03-22,New York,225592.03,usd,Y, user18118@bad email .com ,Expired,2023-10-09,HighRisk
C-112947,PartyA_105,PartyB_157,2023-04-20,2023-04-30,England & Wales,129806.84,EUR,n,,Active,2023-11-01,MediumRisk
C-121836,PartyA_185,PartyB_293,2023-04-20,2023-08-09,England & Wales,116829.35, xyz ,N,contact21836@example.com,Draft,2023-07-01,MediumRisk
C-109792,PartyA_222,PartyB_132,2024-03-07,2024-10-31,New York,174350.89,EUR,y, user9792@bad email .com ,Draft,2024-12-09,MediumRisk
C-101464,PartyA_43,PartyB_126,2023-02-09,2024-02-23,Nigeria,190003.32, xyz ,y,contact1464@example.com,Active,2024-01-15,MediumRisk
C-118652,PartyA_198,PartyB_300,2024-08-23,2025-04-14,Delaware,212230.99,NGN,n, user18652@bad email .com ,Signed,2025-03-15,MediumRisk
C-111089,PartyA_14,PartyB_131,2023-02-12,2024-02-07,England & Wales,190133.75,usd,N, user11089@bad email .com ,Expired,2023-04-16,HighRisk
C-114913,PartyA_82,PartyB_231,2023-12-28,2023-09-01,New York,191091.58,ZAR,n,contact14913@example.com,Draft,2024-01-10,MediumRisk
C-118940,PartyA_8,PartyB_13,2024-01-27,2023-12-28,New York,155276.97,NGN,y,contact18940@example.com,Active,2024-03-24,MediumRisk
C-113373,PartyA_13,PartyB_201,2023-10-18,2024-09-11,Nigeria,106777.45,EUR,N,contact13373@example.com,Draft,2024-10-03,LowRisk
C-108105,PartyA_138,PartyB_22,2024-02-11,2024-11-04,Delaware,20751.28,USD, ,,Active,2024-08-13,MediumRisk
C-107100,PartyA_159,PartyB_36,2023-05-07,2023-08-03,Nigeria,4269.65,usd,Y,contact7100@example.com,Active,2023-05-30,MediumRisk
C-114164,PartyA_201,PartyB_201,2024-08-21,2025-03-28,England & Wales,113411.99,usd,Y,,Active,2025-03-29,MediumRisk
C-120365,PartyA_247,PartyB_211,2023-10-15,2024-03-24,Delaware,182592.93,INR,Y,contact20365@example.com,Expired,2024-05-11,HighRisk
C-108629,PartyA_245,PartyB_199,2024-06-15,2025-08-12,New York,34939.72,INR,y,,Signed,2025-05-15,MediumRisk
C-123998,PartyA_164,PartyB_285,2023-09-08,2024-03-29,Delaware,77693.91,EUR,y,contact23998@example.com,Active,2023-12-09,LowRisk
C-109414,PartyA_218,PartyB_272,2024-01-26,2024-04-15,New York,26550.24,INR,Y,,Signed,2024-04-11,MediumRisk
C-113227,PartyA_238,PartyB_40,2023-07-15,2025-03-31,Scotland,90585.5,ZAR,Y, user13227@bad email .com ,Active,2023-07-22,MediumRisk
C-112998,PartyA_89,PartyB_34,2024-02-29,2025-04-01,Scotland,52461.96,ZAR, , user12998@bad email .com ,Signed,2024-04-21,HighRisk
C-123212,PartyA_20,PartyB_259,2023-11-06,2023-09-29,Nigeria,66260.47,INR, ,contact23212@example.com,Active,2024-05-16,MediumRisk
C-121692,PartyA_117,PartyB_201,2023-03-08,2023-12-23,Delaware,35572.21,EUR,Y,,Active,2023-03-06,MediumRisk
C-122026,PartyA_140,PartyB_5,2023-03-15,2024-12-15,Delaware,192555.81, xyz , ,,Draft,2023-02-24,HighRisk
C-109586,PartyA_236,PartyB_90,2024-08-15,2025-09-13,Nigeria,146786.23,INR,y, user9586@bad email .com ,Active,2025-02-08,MediumRisk
C-120081,PartyA_4,PartyB_290,2024-08-12,2024-08-26,Scotland,191827.71,usd,N,,Signed,2024-11-22,MediumRisk
C-110854,PartyA_45,PartyB_97,2024-03-11,2025-03-09,Nigeria,240145.82,INR,Y, user10854@bad email .com ,Draft,2024-08-24,MediumRisk
C-112053,PartyA_77,PartyB_137,2024-01-22,2024-01-02,Nigeria,14053.03,GBP,N,,Active,2024-01-12,MediumRisk
C-113717,PartyA_182,PartyB_168,2023-10-24,2024-09-09,Delaware,187742.44,usd,N, user13717@bad email .com ,Draft,2024-07-01,MediumRisk
C-106350,PartyA_110,PartyB_9,2024-02-11,2025-01-30,Nigeria,92781.84,GBP,y, user6350@bad email .com ,Signed,2024-05-14,MediumRisk
C-112408,PartyA_283,PartyB_126,2023-03-21,2024-12-06,New York,185530.63,INR,n,contact12408@example.com,Expired,2023-03-04,HighRisk
C-122165,PartyA_294,PartyB_280,2023-03-13,2023-02-03,Nigeria,73395.76,INR,n,,Expired,2023-03-26,HighRisk
C-123399,PartyA_116,PartyB_71,2024-04-23,2024-06-11,New York,188843.24,usd,y,,Signed,2025-01-22,MediumRisk
C-112441,PartyA_115,PartyB_54,2024-06-22,2024-10-17,Nigeria,59777.47,usd,Y,,Draft,2025-01-31,MediumRisk
C-104671,PartyA_291,PartyB_41,2024-08-15,2026-02-17,New York,28194.19,EUR,y,,Expired,2025-06-03,HighRisk
C-101837,PartyA_38,PartyB_7,2023-02-17,2024-01-09,Delaware,108779.86,usd,n,,Active,2023-12-15,MediumRisk
C-119793,PartyA_184,PartyB_85,2023-10-11,2025-02-01,Scotland,6634.24,INR, , user19793@bad email .com ,Active,2024-06-20,HighRisk
C-102778,PartyA_282,PartyB_168,2023-12-24,2024-03-28,England & Wales,237765.7,INR,N,,Signed,2024-05-17,MediumRisk
C-110001,PartyA_6,PartyB_205,2023-09-12,2024-09-27,Delaware,105949.87,ZAR,Y,contact10001@example.com,Active,2023-09-27,MediumRisk
C-123065,PartyA_227,PartyB_81,2024-05-14,2026-03-24,England & Wales,53640.9,ZAR,n,contact23065@example.com,Signed,2024-06-07,MediumRisk
C-100049,PartyA_197,PartyB_79,2023-10-20,2024-02-17,Scotland,68657.06,EUR,N, user49@bad email .com ,Expired,2024-09-15,HighRisk
C-119385,PartyA_127,PartyB_83,2023-07-03,2024-03-09,Scotland,247344.9,USD,Y,contact19385@example.com,Signed,2024-03-27,LowRisk
C-123730,PartyA_82,PartyB_240,2024-03-11,2025-11-13,Delaware,52122.07,USD,n,,Active,2024-11-20,MediumRisk
C-116368,PartyA_268,PartyB_215,2023-10-15,2024-05-30,Nigeria,187865.0,USD,n, user16368@bad email .com ,Draft,2024-08-31,MediumRisk
C-118403,PartyA_105,PartyB_89,2023-08-24,2024-03-31,New York,80339.3,INR,Y, user18403@bad email .com ,Active,2024-01-18,MediumRisk
C-122544,PartyA_163,PartyB_202,2023-10-23,2024-11-30,England & Wales,143194.51, xyz ,y, user22544@bad email .com ,Expired,2024-04-23,HighRisk
C-118175,PartyA_180,PartyB_218,2023-02-18,2023-08-12,England & Wales,77160.34,ZAR, ,contact18175@example.com,Expired,2023-08-17,HighRisk
C-122142,PartyA_15,PartyB_60,2024-05-18,2024-11-19,England & Wales,213057.92,USD,Y,contact22142@example.com,Active,2024-10-01,LowRisk
C-117859,PartyA_131,PartyB_18,2023-01-02,2022-11-25,New York,154969.92,EUR,N,contact17859@example.com,Expired,2023-11-03,MediumRisk
C-119718,PartyA_72,PartyB_68,2023-06-14,2024-10-27,New York,28584.42,ZAR,Y,,Draft,2024-03-14,MediumRisk
C-111167,PartyA_236,PartyB_49,2023-12-03,2025-06-02,Nigeria,44786.71,INR,n, user11167@bad email .com ,Draft,2024-11-17,MediumRisk
C-119043,PartyA_189,PartyB_250,2023-07-05,2023-07-06,Delaware,141007.81,USD,Y,,Active,2023-08-16,MediumRisk
C-110495,PartyA_269,PartyB_96,2023-09-30,2024-02-28,England & Wales,151742.5,INR,Y,,Draft,2024-09-19,MediumRisk
C-101394,PartyA_230,PartyB_222,2024-06-16,2024-03-12,Delaware,122912.65,GBP,N,contact1394@example.com,Draft,2024-11-05,LowRisk
C-115022,PartyA_120,PartyB_289,2023-05-16,2024-10-15,Delaware,207766.42,NGN,N, user15022@bad email .com ,Draft,2024-02-05,MediumRisk
C-113868,PartyA_25,PartyB_3,2023-11-07,2024-09-17,Delaware,80870.71,usd,y,,Signed,2023-11-12,MediumRisk
C-118831,PartyA_275,PartyB_122,2024-05-17,2024-04-18,England & Wales,227183.85,GBP,y, user18831@bad email .com ,Draft,2025-03-09,MediumRisk
C-109303,PartyA_181,PartyB_54,2023-03-28,2024-02-03,Nigeria,191752.27,NGN,y,,Signed,2023-07-07,MediumRisk
C-117184,PartyA_58,PartyB_277,2023-04-11,2024-12-04,Delaware,161639.77,EUR,N,contact17184@example.com,Expired,2024-02-02,MediumRisk
C-108404,PartyA_35,PartyB_36,2023-10-26,2025-10-09,England & Wales,23337.89,GBP, ,contact8404@example.com,Draft,2024-08-23,MediumRisk
C-119786,PartyA_300,PartyB_299,2024-05-11,2024-09-26,New York,218898.31,usd,N, user19786@bad email .com ,Draft,2024-09-16,MediumRisk
C-104680,PartyA_100,PartyB_234,2024-07-18,2025-08-25,England & Wales,4363.58,NGN,Y,,Draft,2025-03-20,MediumRisk
C-116293,PartyA_94,PartyB_109,2024-07-15,2025-05-23,Nigeria,235534.24,USD,y,,Expired,2025-06-11,HighRisk
C-114299,PartyA_184,PartyB_240,2023-10-05,2024-07-25,Nigeria,71990.86,usd,y,contact14299@example.com,Active,2024-07-12,MediumRisk
C-108773,PartyA_261,PartyB_102,2023-04-24,2025-03-03,Nigeria,242578.16,INR,N, user8773@bad email .com ,Signed,2023-05-06,MediumRisk
C-111105,PartyA_296,PartyB_51,2023-03-09,2025-01-24,New York,181304.36,ZAR,N,contact11105@example.com,Active,2023-05-11,MediumRisk
C-104859,PartyA_121,PartyB_271,2024-02-18,2024-03-29,New York,17179.45,NGN,n, user4859@bad email .com ,Active,2025-01-22,MediumRisk
C-111770,PartyA_24,PartyB_230,2024-07-21,2025-11-07,New York,135369.37, xyz ,n,,Signed,2024-11-13,MediumRisk
C-116008,PartyA_75,PartyB_41,2023-07-09,2024-12-23,Scotland,56952.39,USD,n, user16008@bad email .com ,Active,2023-06-27,MediumRisk
C-108570,PartyA_139,PartyB_90,2024-06-28,2025-07-12,New York,50564.03,ZAR,y, user8570@bad email .com ,Expired,2025-02-09,HighRisk
C-103698,PartyA_280,PartyB_240,2024-04-16,2026-03-21,Nigeria,108696.96,INR,N,,Active,2024-12-17,MediumRisk
C-110227,PartyA_229,PartyB_46,2024-02-06,2025-02-12,Delaware,218125.07,INR,n,,Active,2024-05-31,MediumRisk
C-103451,PartyA_229,PartyB_123,2024-07-16,2025-11-09,England & Wales,114487.82,NGN,n, user3451@bad email .com ,Draft,2024-09-03,MediumRisk
C-116168,PartyA_153,PartyB_112,2024-03-27,2024-06-23,New York,175879.04,EUR,N,,Signed,2024-09-25,MediumRisk
